Zona;Sexo;Edad;Relacion;Estado Civil;Lugar 5 años;Pueblo;Seguro Salud;Embarazo;Leer y Escribir;Sum y Mul;Nivel edu;Matricula;Prox Nivel ed;Ocupacion
1;2;35;2;2;1;2;6;2;1;2;31;2;0;0
1;1;11;3;1;1;2;6;0;1;1;41;1;41;0
1;1;10;3;1;1;2;6;0;1;1;41;1;41;0
1;1;7;3;1;1;2;6;0;1;1;41;1;41;0
1;1;85;1;2;1;1;1;0;1;1;21;2;0;0
1;2;75;2;2;1;1;1;0;1;1;21;2;0;0
1;2;31;4;2;1;1;1;2;1;1;32;2;0;1
1;1;46;5;2;1;2;1;0;1;1;22;2;0;1
1;1;2;9;1;4;2;1;0;0;0;0;0;0;0
1;1;52;1;4;1;1;1;0;1;1;32;2;0;3
1;2;28;3;2;1;2;6;2;1;1;32;2;0;1
1;1;25;3;1;1;2;1;0;1;1;42;2;0;1
1;2;18;3;1;1;2;1;3;1;1;42;1;42;0
1;1;36;1;2;1;2;2;0;1;1;77;2;0;1
1;2;35;2;2;1;2;2;2;1;1;72;1;72;0
1;1;9;3;1;1;2;2;0;1;1;41;1;41;0
1;1;7;3;1;1;2;2;0;1;2;41;1;41;0
1;1;68;1;2;1;1;1;0;1;1;21;2;0;0
1;2;63;2;2;1;1;1;0;1;1;21;2;0;0
1;1;75;1;2;1;1;6;0;1;1;23;2;0;0
1;2;62;2;2;1;1;6;0;1;1;22;2;0;0
1;1;25;1;3;1;2;1;0;1;1;77;2;0;1
1;2;25;2;3;1;2;6;2;1;1;77;2;0;1
1;1;7;3;1;1;2;6;0;1;1;41;1;41;0
1;2;55;1;6;1;2;6;0;1;1;21;2;0;3
1;2;36;1;4;1;2;6;2;1;1;32;2;0;1
1;1;16;3;1;1;2;6;0;1;1;42;1;42;0
1;2;14;3;1;1;2;6;3;2;2;11;2;0;0
1;2;5;3;1;1;2;6;0;2;2;11;1;13;0
1;1;25;1;2;1;2;6;0;1;1;42;2;0;3
1;2;22;2;2;1;2;6;2;1;1;42;2;0;0
1;2;5;3;1;1;2;6;0;2;2;13;1;13;0
1;2;4;3;1;4;2;6;0;2;2;11;1;13;0
1;1;35;1;2;1;2;2;0;1;1;72;2;0;1
1;2;33;2;2;1;2;2;2;1;1;32;2;0;0
1;1;17;3;1;1;2;2;0;1;1;42;1;42;0
1;1;15;3;1;1;2;2;0;1;1;42;1;42;0
1;2;7;3;1;1;2;2;0;1;1;13;1;41;0
1;2;1;3;1;4;2;2;0;0;0;0;0;0;0
1;1;31;1;2;1;2;3;0;1;1;32;2;0;1
1;2;30;2;2;1;2;3;2;1;1;32;2;0;8
1;1;11;3;1;1;2;3;0;1;1;41;1;41;0
1;2;8;3;1;1;2;3;0;1;1;41;1;41;0
1;2;39;1;6;1;2;6;2;1;1;32;2;0;1
